Date,High,Low,Open,Close,Volume,Adj Close,ticker
2018-09-19,720378.6695165986,711930.5951300019,717662.0700445527,717685.1560125703,74483255.0,688780.3139490813,My Portfolio
2018-09-20,720986.2468215942,712886.052607727,716053.1775161743,715769.6089279174,93916573.0,686953.1808150054,My Portfolio
2018-09-21,727181.0349603302,716297.4153161652,717685.4579492218,723867.2423272736,228827641.0,694781.6409181518,My Portfolio
2018-09-24,727311.1017492004,719604.384906549,722895.531390924,720987.1224401183,71338074.0,691997.042123941,My Portfolio
2018-09-25,727757.0092611236,715621.5145254058,721106.7915334625,723320.974867813,165669394.0,694119.3546454925,My Portfolio
2018-09-26,727373.1546806244,717784.1010002044,723443.048372641,723231.417147055,109180496.0,693996.657659726,My Portfolio
2018-09-27,728503.3282529968,718178.9299986023,720901.3242094177,726020.2528135437,80179962.0,696670.1489970887,My Portfolio
2018-09-28,725743.1202513672,715288.9148070313,724297.1860472657,718841.6355101563,130118874.0,689762.1891530091,My Portfolio
2018-10-01,724066.9260546784,713086.805708609,719163.0811450104,716389.6520220856,124459846.0,687363.0767268615,My Portfolio
2018-10-02,715342.1653494416,707422.6328939972,713430.6788534699,707965.7792105256,170447007.0,679289.0405967041,My Portfolio
2018-10-03,725924.0247976196,706997.8149740112,710387.6837484252,717772.3332235229,142432166.0,688621.0730078522,My Portfolio
2018-10-04,715449.7913393097,698604.7867769317,712779.6727480011,701073.7451967315,101767749.0,675605.4915712525,My Portfolio
2018-10-05,713665.4744521606,698163.1811171997,703977.8644515503,702385.7191878784,101217980.0,676864.0411601623,My Portfolio
2018-10-08,703673.9169791351,689928.7304862152,700646.6866324554,689928.7304862152,135039140.0,664865.6170403138,My Portfolio
2018-10-09,695107.498596808,681917.987885138,689054.6363073792,687696.693329474,139421171.0,662682.3453853424,My Portfolio
2018-10-10,697622.1167255035,682152.3346210113,685081.8774219146,689279.7302356353,172945523.0,664174.4871644287,My Portfolio
2018-10-11,687544.8858212647,674960.068453711,682857.1087979493,677355.1061734376,163841187.0,652727.9928715606,My Portfolio
2018-10-12,688238.416355066,674348.8551368043,683148.071445398,680119.5167121217,105898409.0,655280.6869457946,My Portfolio
2018-10-15,684957.8116760254,671833.9064178467,681290.4502716064,680402.997467041,114615367.0,655541.8514699768,My Portfolio
2018-10-16,687856.4877688141,676212.2512728424,680346.2109286041,683881.2314516754,66441372.0,658934.6722387329,My Portfolio
2018-10-17,686850.8663480012,676816.7598569123,686020.2024838654,680171.640380594,85701616.0,655412.9293595306,My Portfolio
2018-10-18,692876.7604076995,674482.4761974944,681213.3342754974,679428.4811108245,89313107.0,654802.9784097625,My Portfolio
2018-10-19,685754.8015703277,673994.7687639312,680232.2813982086,681298.7808794098,111701230.0,656647.0753740784,My Portfolio
2018-10-22,688020.7967620301,674450.7639556336,682194.4767699647,678046.9915099549,117177937.0,653459.8081600647,My Portfolio
2018-10-23,674448.967127237,659911.8937934968,671870.7536262604,666238.5062507722,137398121.0,642035.6244300231,My Portfolio
2018-10-24,674625.7443462341,662995.9280315369,668878.8936382263,666023.0210033386,91367285.0,641893.3739304779,My Portfolio
2018-10-25,668243.9210834992,652086.999513675,662235.100206424,662792.222673465,90630299.0,641856.5291889312,My Portfolio
2018-10-26,661896.8643596405,648608.4008434052,657725.7736461395,655430.2138316864,79110612.0,634737.0600504212,My Portfolio
2018-10-29,674799.1132499237,654361.895705368,656468.6814872284,667564.3358756561,183350144.0,646478.303035788,My Portfolio
2018-10-30,671172.5337763459,662039.550622049,667945.1144800812,667685.3809748322,112163960.0,646593.7012802276,My Portfolio
2018-10-31,678003.6720607453,667184.0357387238,672502.5280177766,672165.7969691926,145999465.0,650909.3731085755,My Portfolio
2018-11-01,691670.2043022278,668568.6779808167,670823.2995628479,686881.2472862366,143749341.0,665885.275759137,My Portfolio
2018-11-02,696130.5554266754,685320.1473608795,692460.1480627838,688979.4864722076,90796406.0,667901.1457892242,My Portfolio
2018-11-05,694022.2389784607,682277.3726607116,685453.5691481384,687316.2661696228,63678352.0,666298.0801726135,My Portfolio
2018-11-06,692954.2645886536,679275.5012524719,688061.6998456116,681966.8126538391,116977329.0,661119.8462445373,My Portfolio
2018-11-07,682683.1834697814,666100.4775066467,672268.339963922,680512.7171611877,107493222.0,659772.3763805481,My Portfolio
2018-11-08,689445.6798652068,673789.6816199676,680105.2631934539,686422.2856543914,87595885.0,665503.260332431,My Portfolio
2018-11-09,688883.5736624481,676364.8610312225,683199.6754080536,682310.1418997528,97653680.0,661527.3616354705,My Portfolio
2018-11-12,687436.6753034119,671326.1245984558,684909.8745984558,677498.7721356873,95191193.0,656851.9458295349,My Portfolio
2018-11-13,702074.4525837952,687435.4995961243,692023.1741566712,696673.9018788391,226318259.0,675434.4688313538,My Portfolio
2018-11-14,729951.733819925,685426.10346409,692935.2055759064,710402.7289065949,223074490.0,688650.2116107575,My Portfolio
2018-11-15,714461.8175465454,675614.4117543091,711354.227367102,681478.552455603,141372781.0,660681.1751942504,My Portfolio
2018-11-16,689280.2011964874,667760.5776918487,678467.2441804962,678568.8232973175,146764391.0,657897.4823289948,My Portfolio
2018-11-19,686943.7577821655,672403.7791902466,677665.9504091187,676982.0786592407,96112679.0,656345.5761720581,My Portfolio
2018-11-20,678191.691883429,665598.5083659729,672911.9606517395,670383.9885448059,114120362.0,649926.1789455017,My Portfolio
2018-11-21,689386.6514673767,670266.5858545838,675926.3797083435,688004.19426828,134809386.0,666992.78285318,My Portfolio
2018-11-22,688007.2739062683,672551.5456653015,682457.3875842468,676087.0377612488,114979097.0,662129.435011615,My Portfolio
2018-11-23,692514.6122148193,675952.295900122,676417.8911607421,689341.1736161865,130735677.0,675126.4584535279,My Portfolio
2018-11-26,713972.2195802124,693868.8227296264,697356.0571198852,709926.8413300903,201220609.0,695489.3953751953,My Portfolio
